"objectid","station_name","exit_code","inc_crc","updated_at","lon","lat","geom_4326","geom_3414"
14329,QUEENSTOWN MRT STATION,Exit B,C54B2E9241AC7587,"20231019120510",103.80631147275847,1.2943299089060527,POINT (103.80631147275847 1.2943299089060527),POINT (24994.344500036015 30745.96009987296)
14330,BUONA VISTA MRT STATION,Exit C,F92A8D113B600232,"20231019120510",103.79059939037006,1.3069128886104584,POINT (103.79059939037006 1.3069128886104584),POINT (23245.750000035896 32137.345599892473)
14331,BUONA VISTA MRT STATION,Exit B,"95621469AB2856E4","20231019120510",103.79065661943288,1.3071972570585428,POINT (103.79065661943288 1.3071972570585428),POINT (23252.11960003336 32168.789499892937)
14332,BUONA VISTA MRT STATION,Exit A,EE2D2107B28FC4C5,"20231019120510",103.79044917530257,1.3073094507702407,POINT (103.79044917530257 1.3073094507702407),POINT (23229.033200033675 32181.19569989307)
14333,CLEMENTI MRT STATION,Exit B,B7D91BDACAA183E1,"20231019120510",103.76518556672941,1.3154691294316818,POINT (103.76518556672941 1.3154691294316818),POINT (20417.451500033523 33083.513799905755)
14334,CLEMENTI MRT STATION,Exit A,A9519BF912A2133C,"20231019120510",103.76498210259511,1.3153735578744434,POINT (103.76498210259511 1.3153735578744434),POINT (20394.807600033982 33072.946599905634)
14335,TANAH MERAH MRT STATION,Exit A,"36F95FB516EC35CE","20231019120510",103.94579472792945,1.3268577483881843,POINT (103.94579472792945 1.3268577483881843),POINT (40517.460900035156 34342.989699923426)
14336,TANAH MERAH MRT STATION,Exit B,A923EE234A94C8FF,"20231019120510",103.9457230415822,1.3270612758143558,POINT (103.9457230415822 1.3270612758143558),POINT (40509.4819000345 34365.49439992379)
14337,FARRER PARK MRT STATION,Exit D,"173209DA7F23FABE","20231019120510",103.85297463523698,1.3124536063930647,POINT (103.85297463523698 1.3124536063930647),POINT (30187.532000034545 32749.977799901113)
14338,LITTLE INDIA MRT STATION,Exit E,"6710D2143B21969B","20231019120510",103.85032215995454,1.3074264443989476,POINT (103.85032215995454 1.3074264443989476),POINT (29892.340500035207 32194.097899893284)
14339,LITTLE INDIA MRT STATION,Exit C,"8A50DC395B46AA31","20231019120510",103.84970482293288,1.3063515540862423,POINT (103.84970482293288 1.3063515540862423),POINT (29823.637400033716 32075.241599891626)
